大陆频道,#genre# 
CCTV高尔夫网球,http://jxiptv.xn--9kqp7k2rd.com/vip/gz.php?id=gefwq#http://gzyx.rhiptv.xyz/gz0856.php?id=gefwq#http://39.135.19.162:18890/PLTV/88888888/224/3221225674/1/index.m3u8?fmt=ts2hls
CCTV文化精品,http://jxiptv.xn--9kqp7k2rd.com/vip/gz.php?id=whjp#http://gzyx.rhiptv.xyz/gz0856.php?id=whjp#http://39.135.19.162:18890/PLTV/88888888/224/3221225675/1/index.m3u8?fmt=ts2hls
CCTV兵器科技,http://jxiptv.xn--9kqp7k2rd.com/vip/gz.php?id=gfjs#http://gzyx.rhiptv.xyz/gz0856.php?id=gfjs#http://39.135.19.162:18890/PLTV/88888888/224/3221225676/1/index.m3u8?fmt=ts2hls
CCTV风云音乐,http://jxiptv.xn--9kqp7k2rd.com/vip/gz.php?id=fyyl#http://gzyx.rhiptv.xyz/gz0856.php?id=fyyl#http://39.135.19.162:18890/PLTV/88888888/224/3221225698/1/index.m3u8?fmt=ts2hls
CCTV风云剧场,http://jxiptv.xn--9kqp7k2rd.com/vip/gz.php?id=fyjc#http://gzyx.rhiptv.xyz/gz0856.php?id=fyjc#http://39.135.19.162:18890/PLTV/88888888/224/3221225700/1/index.m3u8?fmt=ts2hls
CCTV女性时尚,http://jxiptv.xn--9kqp7k2rd.com/vip/gz.php?id=nxss#http://gzyx.rhiptv.xyz/gz0856.php?id=nxss#http://39.135.19.162:18890/PLTV/88888888/224/3221225699/1/index.m3u8?fmt=ts2hls
CCTV第一剧场,http://jxiptv.xn--9kqp7k2rd.com/vip/gz.php?id=dyjc#http://gzyx.rhiptv.xyz/gz0856.php?id=dyjc#http://39.135.19.162:18890/PLTV/88888888/224/3221225702/1/index.m3u8?fmt=ts2hls
CCTV风云足球,http://jxiptv.xn--9kqp7k2rd.com/vip/gz.php?id=fyzq#http://gzyx.rhiptv.xyz/gz0856.php?id=fyzq#http://39.135.19.162:18890/PLTV/88888888/224/3221225734/1/index.m3u8?fmt=ts2hls
CCTV世界地理,http://jxiptv.xn--9kqp7k2rd.com/vip/gz.php?id=sjdl#http://gzyx.rhiptv.xyz/gz0856.php?id=sjdl#http://39.135.19.162:18890/PLTV/88888888/224/3221225733/1/index.m3u8?fmt=ts2hls
CCTV怀旧剧场,http://jxiptv.xn--9kqp7k2rd.com/vip/gz.php?id=hjjc#http://gzyx.rhiptv.xyz/gz0856.php?id=hjjc#http://39.135.19.162:18890/PLTV/88888888/224/3221225765/1/index.m3u8?fmt=ts2hls
